setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,SWEET,bio,mis,bio__mis,0.0974,0.1826,0.2393,0.2633,0.0946,0.1001,0.0055
full,KGW,mis,security,mis__security,0.0693,0.1293,0.3235,0.3407,0.0673,0.0713,0.004
nostop,EXP,med,mis,med__mis,0.1067,0.212,0.1146,0.1383,0.1107,0.1028,0.0078
nostop,SWEET,ai,bio,ai__bio,0.0847,0.1578,0.0765,0.1013,0.0896,0.0799,0.0097
nostop,Unigram,ai,bio,ai__bio,0.104,0.2007,0.0992,0.1273,0.0967,0.1114,0.0146
full,SynthID,ai,bio,ai__bio,0.0596,0.1071,0.2928,0.3161,0.0483,0.0709,0.0226
full,SynthID,med,mis,med__mis,0.0666,0.128,0.2976,0.3143,0.0669,0.0663,0.0006
full,Unigram,bio,med,bio__med,0.079,0.1518,0.2339,0.2528,0.093,0.0649,0.0281
full,SWEET,bio,med,bio__med,0.0654,0.1301,0.2241,0.2397,0.0702,0.0606,0.0097
full,KGW,ai,bio,ai__bio,0.0659,0.114,0.3249,0.3476,0.0632,0.0686,0.0054
nostop,EXP,bio,security,bio__security,0.1334,0.2515,0.1244,0.1613,0.1318,0.135,0.0033
full,EXP,ai,bio,ai__bio,0.0633,0.1155,0.2941,0.3135,0.0548,0.0718,0.017
nostop,SynthID,ai,mis,ai__mis,0.1388,0.2739,0.1358,0.1739,0.142,0.1355,0.0065
nostop,EXP,ai,med,ai__med,0.1221,0.2374,0.1139,0.1527,0.122,0.1222,0.0002
nostop,SynthID,bio,mis,bio__mis,0.1474,0.2849,0.1459,0.1864,0.1601,0.1347,0.0255
nostop,SWEET,med,security,med__security,0.093,0.1861,0.0936,0.1191,0.0902,0.0958,0.0056
nostop,EXP,ai,mis,ai__mis,0.1271,0.2585,0.1248,0.156,0.1281,0.126,0.002
full,SynthID,ai,security,ai__security,0.0618,0.113,0.298,0.3188,0.0539,0.0698,0.0159
nostop,Unigram,ai,mis,ai__mis,0.1285,0.2421,0.1099,0.149,0.1334,0.1237,0.0097
